queue_order,priority_tier,batch,lead_id,client,service,estimated_value,location,phone,timezone_local,send_window_pt_start,send_window_pt_end,channel_plan,touch_1,touch_2,touch_3,status,owner,response_status,response_time_pt,next_action,next_action_due_pt,notes
12,P1,A,sprint11-025,Dallas Tax and Books,Tax/bookkeeping reporting automation,900,"Dallas, TX",(214) 353-0654,CT,09:40,11:00,call_first_sms_followup,Call,SMS (if no answer),Follow-up SMS + Yelp msg (if available) next-day,queued,john,,,,,
13,P2,B,sprint26-030,"Accurate Accounting Company, Inc.",Bookkeeping Workflow Standardization,850,", ",206-335-8864,PT,11:40,13:00,call_first_sms_followup,Call,SMS (if no answer),Follow-up SMS + Yelp msg (if available) next-day,queued,john,,,,,
14,P2,B,wa-google-001,PNW Landscaping & Services,Landscaping,800,"Seattle, WA 98146",(206) 922-9440,PT,11:40,13:00,call_first_sms_followup,Call,SMS (if no answer),Follow-up SMS + Yelp msg (if available) next-day,queued,john,,,,,
15,P2,B,nosite-109,San Diego Heating and Cooling,HVAC,900,"El Cajon, CA 92021",(619) 443-2665,PT,11:40,13:00,call_first_sms_followup,Call,SMS (if no answer),Follow-up SMS + Yelp msg (if available) next-day,queued,john,,,,,
16,P2,B,nosite-049,Valle Landscaping,Landscaping,800,"Phoenix, AZ",(480) 806-9550,MT,10:40,12:00,call_first_sms_followup,Call,SMS (if no answer),Follow-up SMS + Yelp msg (if available) next-day,queued,john,,,,,
17,P2,B,nosite-050,Valley Landscaping,Landscaping,800,"Phoenix, AZ 85003",(623) 486-4922,MT,10:40,12:00,call_first_sms_followup,Call,SMS (if no answer),Follow-up SMS + Yelp msg (if available) next-day,queued,john,,,,,
18,P2,B,nosite-052,CC Landscaping,Landscaping,800,"Phoenix, AZ 85036",(623) 324-9775,MT,10:40,12:00,call_first_sms_followup,Call,SMS (if no answer),Follow-up SMS + Yelp msg (if available) next-day,queued,john,,,,,
19,P2,B,nosite-053,RB Landscaping Service,Landscaping,800,"Phoenix, AZ",(480) 540-8509,MT,10:40,12:00,call_first_sms_followup,Call,SMS (if no answer),Follow-up SMS + Yelp msg (if available) next-day,queued,john,,,,,
20,P2,B,wave5-070,Champion Plumbing,Water Heater Repair,575,"San Antonio, TX",(210) 393-9617,CT,09:40,11:00,call_first_sms_followup,Call,SMS (if no answer),Follow-up SMS + Yelp msg (if available) next-day,queued,john,,,,,
21,P2,B,wave5-072,SOSA The Plumber,Plumbing,550,"San Antonio, TX",(210) 779-9678,CT,09:40,11:00,call_first_sms_followup,Call,SMS (if no answer),Follow-up SMS + Yelp msg (if available) next-day,queued,john,,,,,
22,P2,B,nosite-061,JV Pool Services,Pool & Hot Tub Service,700,"Dallas, TX 75228",(214) 929-4278,CT,09:40,11:00,call_first_sms_followup,Call,SMS (if no answer),Follow-up SMS + Yelp msg (if available) next-day,queued,john,,,,,
23,P2,B,nosite-116,Bachman Lawn Care,Landscaping/Lawn Care,700,"Kansas City, MO 64155",(816) 550-8823,CT,09:40,11:00,call_first_sms_followup,Call,SMS (if no answer),Follow-up SMS + Yelp msg (if available) next-day,queued,john,,,,,
24,P2,B,nosite-055,Tony Handyman Survives,Handyman,600,"Phoenix, AZ 85001",(480) 740-7144,MT,10:40,12:00,call_first_sms_followup,Call,SMS (if no answer),Follow-up SMS + Yelp msg (if available) next-day,queued,john,,,,,
25,P2,B,nosite-056,Rick The Handyman,Handyman,600,"Phoenix, AZ 85018",(602) 200-4521,MT,10:40,12:00,call_first_sms_followup,Call,SMS (if no answer),Follow-up SMS + Yelp msg (if available) next-day,queued,john,,,,,
26,P2,B,nosite-057,Manny Handyman Svcs,Handyman,600,"Phoenix, AZ",(480) 450-8097,MT,10:40,12:00,call_first_sms_followup,Call,SMS (if no answer),Follow-up SMS + Yelp msg (if available) next-day,queued,john,,,,,
27,P3,C,nosite-079,New Image Mobile Auto Detailing & Fueling,Auto Detailing,600,"Atlanta, GA",(404) 341-9569,ET,11:45,12:30,call_first_sms_followup,Call,SMS (if no answer),Follow-up SMS + Yelp msg (if available) next-day,queued,john,,,,,
28,P3,C,nosite-084,American Termite & Pest Elimination,Pest Control,550,"Atlanta, GA 30303",(404) 874-5250,ET,11:45,12:30,call_first_sms_followup,Call,SMS (if no answer),Follow-up SMS + Yelp msg (if available) next-day,queued,john,,,,,
29,P3,C,nosite-085,Bug Free Exterminating,Pest Control,550,"Atlanta, GA 30303",(770) 920-2288,ET,11:45,12:30,call_first_sms_followup,Call,SMS (if no answer),Follow-up SMS + Yelp msg (if available) next-day,queued,john,,,,,
30,P3,C,nosite-086,CRC Services Termite & Pest Control,Pest Control,550,"Atlanta, GA 30303",(770) 973-7103,ET,11:45,12:30,call_first_sms_followup,Call,SMS (if no answer),Follow-up SMS + Yelp msg (if available) next-day,queued,john,,,,,
31,P3,C,nosite-087,Contact Pest Control,Pest Control,550,"Atlanta, GA 30349",(770) 909-0444,ET,11:45,12:30,call_first_sms_followup,Call,SMS (if no answer),Follow-up SMS + Yelp msg (if available) next-day,queued,john,,,,,
32,P3,C,lead_auto_003,Protocol Property Management,Excel Automation - Rent Roll,800,Bellevue WA,(425) 467-1436,PT,14:45,16:30,call_first_sms_followup,Call,SMS (if no answer),Follow-up SMS + Yelp msg (if available) next-day,queued,john,,,,,
33,P3,C,wa-google-003,Joc's Landscaping,Landscaping/Lawn Care,750,"Everett, WA 98208",(425) 791-1800,PT,14:45,16:30,call_first_sms_followup,Call,SMS (if no answer),Follow-up SMS + Yelp msg (if available) next-day,queued,john,,,,,
34,P3,C,wa-google-006,Keith's Lawn & Landscape,Landscaping,750,"Spokane, WA 99218",(509) 466-5938,PT,14:45,16:30,call_first_sms_followup,Call,SMS (if no answer),Follow-up SMS + Yelp msg (if available) next-day,queued,john,,,,,
35,P3,C,sprint26-025,Seattle Mobile Detailing,Job Tracking + CRM Spreadsheet Automation,750,", ",(206) 922-7372,PT,14:45,16:30,call_first_sms_followup,Call,SMS (if no answer),Follow-up SMS + Yelp msg (if available) next-day,queued,john,,,,,
36,P3,C,wa-google-004,Family Lawn Services,Lawn Care,700,"Everett, WA",(360) 961-2955,PT,14:45,16:30,call_first_sms_followup,Call,SMS (if no answer),Follow-up SMS + Yelp msg (if available) next-day,queued,john,,,,,
37,P3,C,wa-google-007,The Honest Handyman & Hauling LLC,Handyman,700,"Vancouver, WA 98661",(503) 765-2489,PT,14:45,16:30,call_first_sms_followup,Call,SMS (if no answer),Follow-up SMS + Yelp msg (if available) next-day,queued,john,,,,,
38,P3,C,nosite-001,Perez Landscaping,Landscaping,800,"Seattle, WA 98188",(206) 602-9766,PT,14:45,16:30,call_first_sms_followup,Call,SMS (if no answer),Follow-up SMS + Yelp msg (if available) next-day,queued,john,,,,,
39,P3,C,nosite-002,Ligaya Landscaping,Landscaping,800,"Seattle, WA 98101",(206) 351-7402,PT,14:45,16:30,call_first_sms_followup,Call,SMS (if no answer),Follow-up SMS + Yelp msg (if available) next-day,queued,john,,,,,
40,P3,C,nosite-003,Greenscapes Landscaping,Landscaping,800,"Seattle, WA 98146",(206) 802-8186,PT,14:45,16:30,call_first_sms_followup,Call,SMS (if no answer),Follow-up SMS + Yelp msg (if available) next-day,queued,john,,,,,
